id;bill_number;date;total_amount;tax_amount;discount_amount;paid_amount;due_amount;notes;active;created_by;created_date;last_modified_by;last_modified_date
1;over;2025-07-27T02:22:47;26405.61;18979.21;2410.82;25996.08;3654.09;recompense experience;false;mispronounce;2025-07-26T19:48:12;repeatedly and amnesty;2025-07-26T23:20:21
2;instructive clueless onto;2025-07-27T03:14:58;314.93;4318.22;6823.23;3887.38;31811.03;hundred;false;now;2025-07-27T15:29:26;rosy;2025-07-27T03:12:47
3;past excluding bus;2025-07-27T16:33:06;28175.46;14106.89;1840.16;753.12;5944.96;pantyhose handover when;true;fooey deselect;2025-07-26T19:37:53;misspend gosh;2025-07-26T23:55:49
4;once whenever;2025-07-27T04:37:21;4119.11;18062.16;844.07;8462.06;19410.55;after;false;shirk whose how;2025-07-27T03:57:27;unlawful after;2025-07-27T15:06:21
5;miserably yum now;2025-07-27T08:32:12;20428.54;25527.54;9018.75;24659.28;32706.92;quadruple yum rationalise;false;submissive;2025-07-27T06:13:00;bustling favorite enchanting;2025-07-27T15:11:43
6;wherever merit;2025-07-27T13:11:43;4542.02;6310.61;23124.11;8811.56;25184.64;mature unhappy average;false;besides;2025-07-27T02:10:47;plugin;2025-07-27T10:19:41
7;for unimpressively;2025-07-26T23:27:44;5575.98;220.71;21528.71;14205.18;27080.85;joyful yowza thread;true;provided;2025-07-27T06:18:59;to truthfully;2025-07-26T18:22:00
8;during;2025-07-26T19:53:14;9693.07;22403.95;23530.37;4897.09;13302.99;times claw even;true;ragged bare;2025-07-26T19:11:03;failing weakly;2025-07-27T01:58:28
9;hopelessly provided;2025-07-26T23:55:52;10152.1;24900.79;32417.51;27346.37;10798.04;or;false;even reborn;2025-07-27T00:24:57;ugh;2025-07-27T15:10:50
10;reproach madly;2025-07-26T23:55:13;1773.93;8560.02;1344.41;8140.59;24162.53;yet meanwhile;true;into;2025-07-26T23:21:52;iterate scoop capsize;2025-07-26T21:09:15
