id;available;last_updated;notes;active;created_by;created_date;last_modified_by;last_modified_date
1;2623.67;2025-07-26T17:05:43;ouch;false;unwritten regularly procrastinate;2025-07-27T06:24:16;pulp hm;2025-07-27T05:58:10
2;22019.84;2025-07-27T11:02:03;cleverly and;true;pike nor;2025-07-27T04:02:18;row;2025-07-27T07:57:28
3;31885.43;2025-07-27T07:51:34;vestment why unhappy;false;helpfully as vacation;2025-07-27T01:34:28;brightly;2025-07-27T04:24:10
4;12776.36;2025-07-26T20:33:56;than so;true;joint;2025-07-27T06:54:08;as if;2025-07-26T20:02:01
5;1026.87;2025-07-26T19:49:19;where lovingly admired;true;tightly clumsy;2025-07-27T04:42:34;however nasalise precious;2025-07-27T01:54:32
6;7042.37;2025-07-27T13:39:57;during failing decriminalize;false;agreeable indeed off;2025-07-27T01:34:52;gifted;2025-07-26T19:03:08
7;11424.08;2025-07-27T03:32:25;since hydrocarbon cappelletti;true;heavily or;2025-07-27T09:16:47;for machine nephew;2025-07-26T23:28:22
8;16094.85;2025-07-26T21:09:23;apud hm;false;self-confidence;2025-07-26T22:11:44;warming tooth usefully;2025-07-27T04:18:36
9;31985.25;2025-07-27T11:09:02;hopeful ah;false;so whose upon;2025-07-26T19:28:11;inspect brr scale;2025-07-27T15:22:53
10;21990.62;2025-07-27T09:24:35;hmph but duh;false;spirit;2025-07-27T15:51:33;although unless disadvantage;2025-07-27T06:29:00
