id;date;amount;type;reason;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T16:07:20;13328.76;OWNER_WITHDRAWAL;average as;false;adjourn as;2025-07-27T03:19:32;negotiation;2025-07-27T05:19:45
2;2025-07-27T09:37:14;19324.35;SALARY_PAYMENT;only own;false;hospitable institutionalize though;2025-07-26T18:32:00;excepting astride;2025-07-27T11:04:50
3;2025-07-27T14:02:06;18345.6;OWNER_WITHDRAWAL;finger rosemary;true;tightly;2025-07-27T03:58:49;unto flu quarterly;2025-07-27T15:56:50
4;2025-07-27T04:29:37;24871.58;OWNER_WITHDRAWAL;around standard now;true;huzzah;2025-07-27T13:57:56;anti quietly nervously;2025-07-27T00:39:58
5;2025-07-26T19:42:23;19819.27;OTHER;onto besides;false;search brr;2025-07-26T17:05:16;times;2025-07-27T10:47:30
6;2025-07-26T23:54:26;25240.07;PRODUCT_PURCHASE;past fraudster substantiate;true;digit;2025-07-26T20:08:33;save;2025-07-27T09:32:39
7;2025-07-27T07:28:22;7213.07;SALARY_PAYMENT;alligator charlatan;true;jot;2025-07-26T17:03:11;phew readies;2025-07-26T23:30:28
8;2025-07-27T05:53:11;11746.18;PRODUCT_PURCHASE;aw;true;hopeful pigsty negative;2025-07-26T21:12:34;shameful along;2025-07-27T08:39:34
9;2025-07-27T13:00:10;16280.2;SALARY_PAYMENT;till;false;co-producer govern before;2025-07-27T03:13:30;annex;2025-07-27T15:36:38
10;2025-07-26T18:24:02;21552.1;PRODUCT_PURCHASE;scaffold;false;complicated;2025-07-27T14:46:23;baritone promptly;2025-07-27T04:20:10
