id;type;reference_id;reference_type;amount;description;timestamp;active;created_by;created_date;last_modified_by;last_modified_date
1;OWNER_WITHDRAWAL;17365;whoever;17227.06;how nocturnal fuel;2025-07-27T04:01:22;false;packaging underneath kindly;2025-07-26T18:35:45;yahoo;2025-07-27T06:44:55
2;PRODUCT_SALE;5988;mostly;23771.79;scratch before;2025-07-26T21:44:07;false;ignorance lively;2025-07-27T14:04:48;bidet elegant aw;2025-07-27T14:08:34
3;OTHER;5535;back wobbly coast;354.68;instead cruelty;2025-07-26T23:55:37;false;an zowie;2025-07-27T13:35:17;tinderbox;2025-07-26T17:58:43
4;SALARY_PAYMENT;8658;supposing;13958.42;task sham unless;2025-07-26T23:49:14;false;through mmm;2025-07-27T04:29:39;hungry;2025-07-27T04:18:42
5;PRODUCT_PURCHASE;23049;despite;6682.48;buzzing following shipper;2025-07-27T10:54:49;false;below unless;2025-07-27T15:20:45;voluntarily;2025-07-27T06:54:50
6;PRODUCT_PURCHASE;15517;of;30225.1;on circumnavigate;2025-07-27T07:26:44;false;misfire border minor;2025-07-26T23:41:47;hmph;2025-07-27T08:06:42
7;OWNER_WITHDRAWAL;15773;ack plagiarise;12355.58;or;2025-07-27T02:25:00;false;quarrelsome upside-down bonnet;2025-07-26T22:14:46;sympathetically interchange mockingly;2025-07-27T06:43:42
8;OWNER_WITHDRAWAL;20982;about;28796.93;although;2025-07-27T16:22:42;false;meh duh;2025-07-26T21:05:11;shoulder musty ew;2025-07-27T13:15:23
9;OTHER;11760;down;17074.36;when cycle;2025-07-26T20:13:32;false;off give for;2025-07-26T21:25:39;hence come;2025-07-27T07:15:00
10;OTHER;28213;dally;17967.3;abnormally;2025-07-26T20:18:42;true;so reassuringly that;2025-07-27T07:19:38;pretty;2025-07-27T10:53:49
