id;date;opening_balance;total_sales;total_purchases;total_salary_paid;owner_deposits;withdrawals;closing_balance;notes;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27;6266.07;21724.87;25588.79;32615.55;14525.08;4589.79;8865.1;that incidentally;false;rigid geez beneath;2025-07-27T05:33:20;shirk optimistically verbally;2025-07-27T04:46:58
2;2025-07-27;20000.11;23386.29;24693.56;9966.12;8788.55;2321.5;30178.43;adventurously newsprint between;false;uh-huh violently;2025-07-27T10:26:24;minus hypothesize absent;2025-07-27T15:29:06
3;2025-07-27;13753.07;16305.84;750.2;14013.82;3950.84;9692.02;29459.14;possession;true;conversation runny;2025-07-27T06:12:59;concerning transparency er;2025-07-27T15:45:00
4;2025-07-27;28197.07;3043.46;24225.49;1279.26;27263.67;14717.91;30824.96;aw ridge upright;true;provided gah boohoo;2025-07-26T21:22:07;amidst mixed;2025-07-27T16:57:26
5;2025-07-26;24222.15;26814.11;28403.82;16333.94;30291.16;27003.46;8446.55;since deficient;false;that;2025-07-27T13:12:46;modulo past;2025-07-27T07:47:32
6;2025-07-26;23773.51;30025.35;15958.43;3836.1;17433.65;14624.56;27026.13;ordinary;true;blah;2025-07-26T18:11:16;needily neighboring;2025-07-26T22:56:43
7;2025-07-27;5223.9;2060.21;28352.89;17343.97;3503.77;14660.05;15649.69;though furthermore;false;failing;2025-07-27T04:22:01;sidetrack boo however;2025-07-27T14:15:03
8;2025-07-26;5026.77;15746.15;14470.28;9057.92;1644.72;4918.93;28199.79;boldly especially;false;resolve sequester;2025-07-27T10:14:06;although cheerfully;2025-07-27T01:59:25
9;2025-07-26;21828.37;9752.77;30339.81;8037.87;3712.22;22561.24;23446.16;failing;true;sprinkles consequently;2025-07-26T21:20:11;down boohoo notwithstanding;2025-07-27T07:05:20
10;2025-07-27;1091.23;18711.63;594.07;15204.3;2238.66;18086.22;19477.11;exhaust;false;dwell yum throughout;2025-07-27T13:05:58;dreamily than;2025-07-27T08:33:38
