id;date;type;quantity;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T00:15:44;STOCK_IN;24028;false;instead geez during;2025-07-26T22:22:04;nor;2025-07-26T22:14:27
2;2025-07-26T19:08:47;STOCK_OUT;7413;false;whereas certification;2025-07-26T21:00:30;hoarse hexagon querulous;2025-07-27T02:27:42
3;2025-07-27T16:04:03;STOCK_IN;513;true;ordinary;2025-07-26T18:38:45;accompany speedily zowie;2025-07-27T08:00:53
4;2025-07-27T09:31:41;RETURN;21456;false;browse;2025-07-26T19:29:02;consequently orientate brook;2025-07-27T04:44:06
5;2025-07-26T22:49:15;STOCK_OUT;11047;false;muddy;2025-07-27T03:31:32;amongst oof eek;2025-07-27T02:06:09
6;2025-07-27T06:59:04;STOCK_IN;1130;true;brightly;2025-07-27T13:14:24;monthly;2025-07-26T18:01:02
7;2025-07-26T21:27:50;STOCK_IN;27732;false;geez snuggle summer;2025-07-27T15:25:07;before dreamily;2025-07-27T04:10:56
8;2025-07-26T23:52:00;RETURN;4499;false;phooey to whoever;2025-07-26T22:58:18;forenenst minus under;2025-07-27T01:49:09
9;2025-07-27T08:42:53;RETURN;22232;true;although;2025-07-27T09:34:27;boyfriend;2025-07-27T11:07:14
10;2025-07-27T16:10:59;STOCK_OUT;26640;true;focused numeracy;2025-07-27T13:34:13;amendment;2025-07-27T03:02:30
