id;date;amount;reason;notes;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T13:27:13;18649.89;continually although eke;flawless er beside;false;inasmuch;2025-07-26T18:44:12;brief;2025-07-26T18:16:05
2;2025-07-27T05:58:07;21866.17;however;hypothesize although;false;except pillbox sometimes;2025-07-26T19:16:13;hole gah;2025-07-27T03:22:50
3;2025-07-27T11:54:59;17453.72;since;dreamily ha discontinue;false;midst;2025-07-27T14:13:54;almost instead;2025-07-27T00:24:27
4;2025-07-26T18:22:54;31009.06;instead colour;commercial among;false;lest;2025-07-27T02:58:29;lest lest cycle;2025-07-27T12:29:30
5;2025-07-27T02:53:44;6942.59;near instruction hm;painfully;false;repossess disclosure;2025-07-26T18:35:15;hm qua;2025-07-27T11:20:35
6;2025-07-27T04:25:23;20545.67;someplace biodegradable;folklore;false;under gullible;2025-07-27T06:07:05;now especially;2025-07-26T18:28:15
7;2025-07-27T00:27:40;5658.92;well-worn basic;excluding eek;false;concerned midst where;2025-07-26T21:15:12;uh-huh acidly inasmuch;2025-07-27T16:28:05
8;2025-07-27T15:14:56;16651.46;hovercraft;well-to-do yet;true;kindly madly;2025-07-26T23:21:16;spectacles afterwards;2025-07-27T05:29:17
9;2025-07-27T01:11:02;10168.4;agreeable hastily throughout;rationale puny fatherly;true;siege whenever;2025-07-27T00:26:27;psst forenenst however;2025-07-27T16:49:42
10;2025-07-27T10:09:10;20000.22;but;mmm footrest once;false;hoot phew adventurously;2025-07-27T01:00:22;second-hand quip handle;2025-07-27T11:40:43
