id;name;code;quantity;unit_price;cost_price;active;created_by;created_date;last_modified_by;last_modified_date
1;yawningly round;zowie mooch;2663;5509.56;24255.02;false;apropos until how;2025-07-27T05:11:13;following lest;2025-07-27T01:47:24
2;inquisitively officially;sashay since anguish;7616;11823.69;3409.74;false;after;2025-07-27T01:28:53;times geez meh;2025-07-26T18:13:58
3;yesterday commonly blah;vibration;20200;13067.25;29490.96;false;so violently;2025-07-27T05:30:25;dulcimer however less;2025-07-27T03:20:58
4;tattered slump;ack likewise mortar;8707;29151.22;7940.99;true;nor;2025-07-27T02:46:27;sarong onset nearly;2025-07-27T11:14:18
5;instructive;but scrape more;9650;6688.99;2147.75;true;never an;2025-07-26T22:07:49;upwardly putrefy;2025-07-26T21:31:09
6;next advancement;inasmuch;24090;19061.72;16763.97;false;ha sadly legitimize;2025-07-27T11:10:29;hmph;2025-07-26T20:30:27
7;edible definitive pinstripe;tangible;14380;31222.8;11012.01;true;how publicity esteemed;2025-07-27T03:01:14;slow where below;2025-07-26T20:18:30
8;present mobility;bowed loyally except;7041;29885.46;14491.26;true;accept whimsical;2025-07-26T19:36:04;gosh;2025-07-26T20:25:59
9;miscalculate downshift;inspection boohoo;7346;3808.65;16983.73;true;till collectivization;2025-07-26T21:39:40;poppy;2025-07-26T23:49:12
10;quash;sadly scarily veloci;27239;16008.06;1843.97;true;emulsify safely;2025-07-27T02:53:16;usefully per guilt;2025-07-26T17:15:41
