id;name;active;created_by;created_date;last_modified_by;last_modified_date
1;handful;false;poor;2025-07-27T13:44:49;orange;2025-07-27T09:01:19
2;huff;false;experienced;2025-07-27T16:05:09;naturally above;2025-07-27T11:48:31
3;uh-huh forager;true;as petty;2025-07-27T05:46:08;given throughout;2025-07-27T06:22:14
4;supposing unselfish;false;meanwhile;2025-07-26T23:31:08;obedience;2025-07-26T23:03:09
5;when;true;really;2025-07-27T04:15:07;notwithstanding bravely;2025-07-27T13:06:25
6;huzzah hyena barring;true;aha um lovingly;2025-07-26T21:45:12;yak;2025-07-26T23:43:27
7;yuck;true;righteously than wolf;2025-07-27T16:27:37;slip;2025-07-27T09:38:12
8;unimpressively;false;hygienic mainstream always;2025-07-26T17:35:15;beside gadzooks;2025-07-26T23:39:38
9;necklace greedily;false;murky icebreaker;2025-07-26T22:41:53;accountability;2025-07-27T14:16:51
10;lay knowingly;false;brr quietly whose;2025-07-27T04:46:58;brr thunderbolt whisper;2025-07-26T18:22:58
