id;product_name;quantity;unit_price;line_total;active;created_by;created_date;last_modified_by;last_modified_date
1;now gee;7911;14713.22;15231.47;false;outside abacus;2025-07-27T13:46:56;consequently oof whether;2025-07-27T12:11:22
2;down;21202;24577.53;17224.38;true;however;2025-07-27T14:55:55;closely between;2025-07-27T01:07:43
3;excluding;21142;26575.49;10973.99;false;ha overconfidently;2025-07-27T08:33:46;if until quiet;2025-07-26T18:45:01
4;amongst welcome hence;4410;6089.16;24687.22;true;furthermore divine;2025-07-26T18:47:20;near huzzah majestic;2025-07-26T22:36:47
5;elderly absent er;13341;7646.51;27852.36;false;frenetically;2025-07-26T18:37:35;thankfully mmm golden;2025-07-27T11:18:24
6;sadly unfinished that;26742;28817.42;4752.01;false;while;2025-07-27T02:41:19;but untidy bathhouse;2025-07-26T20:50:55
7;huzzah;10946;20124.13;25599.18;false;poorly;2025-07-26T18:54:06;following shrilly;2025-07-26T16:56:03
8;fray those;4213;5697.63;28982.17;true;whenever courageously repeatedly;2025-07-27T03:27:09;whereas and;2025-07-27T02:41:54
9;tomography meanwhile yippee;17083;6446.2;16559.26;true;packaging bare lovingly;2025-07-26T23:06:11;comestible that monocle;2025-07-27T03:37:18
10;inasmuch patiently fictionalize;21871;25441.41;27982.89;true;natural blah;2025-07-27T10:36:00;until;2025-07-27T14:57:14
