id;date;supplier_invoice_no;total_quantity;total_amount;grand_total;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T05:25:50;till uh-huh;12167;7799.84;11100.12;true;pecan;2025-07-26T22:00:49;fully commonly preregister;2025-07-26T20:24:42
2;2025-07-26T20:10:39;quick;7046;15729.71;16569.32;false;homeschool ick colligate;2025-07-27T11:11:14;mysterious;2025-07-27T02:19:51
3;2025-07-27T03:54:42;what unsteady why;13949;29789.36;2687.66;true;hopelessly oof next;2025-07-27T03:40:22;SUV hotfoot beep;2025-07-27T12:46:37
4;2025-07-26T23:44:19;gosh;2601;4602.72;10588.49;true;innovate;2025-07-27T13:00:43;through yellow sleepily;2025-07-26T22:25:28
5;2025-07-27T09:03:20;doodle at;11501;21512.31;5794.4;false;unfortunately;2025-07-27T00:42:14;while weakly whether;2025-07-26T18:07:41
6;2025-07-27T13:35:11;whereas wire;31807;24763.81;24203.11;true;eek lest deliberately;2025-07-27T12:51:22;yearly;2025-07-27T01:11:42
7;2025-07-26T22:22:19;cleverly;22406;32687.09;15895.53;false;up because provided;2025-07-26T19:32:29;whereas randomize culture;2025-07-27T13:36:50
8;2025-07-27T06:54:25;astonishing firm what;26065;29501.95;12123.27;true;furthermore hence replacement;2025-07-27T16:04:13;ick;2025-07-27T14:37:21
9;2025-07-27T09:21:22;version;25890;8227.26;16016.26;true;aha gah boo;2025-07-27T09:52:16;abaft mid inure;2025-07-27T14:07:51
10;2025-07-26T17:47:30;swing entry bonfire;24788;11389.6;32331.96;false;pfft cinch;2025-07-27T16:01:57;incidentally;2025-07-27T07:57:06
