id;date;amount;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T00:43:30;16359.93;true;suspension huzzah;2025-07-27T16:30:33;approach because;2025-07-26T17:44:06
2;2025-07-27T09:16:54;21958.57;false;skean likewise;2025-07-27T11:26:59;term lest;2025-07-27T03:27:44
3;2025-07-27T03:35:19;23755.92;false;aha ew;2025-07-27T09:22:45;acquaintance developmental;2025-07-27T04:12:48
4;2025-07-26T17:44:30;11756.86;true;till;2025-07-26T22:53:27;or frenetically;2025-07-27T13:46:54
5;2025-07-27T05:42:34;23343.06;false;less galoshes;2025-07-27T07:03:12;rarely almost technologist;2025-07-26T23:54:44
6;2025-07-27T16:44:25;31581.53;true;deliberately;2025-07-26T19:50:23;duh;2025-07-27T16:07:19
7;2025-07-26T20:35:23;1457.96;true;perfection;2025-07-27T05:10:21;along since timely;2025-07-27T13:09:07
8;2025-07-27T16:03:24;21700.27;false;oh;2025-07-27T06:56:49;meanwhile fiddle lest;2025-07-27T14:27:20
9;2025-07-27T10:56:20;14060.3;false;nicely tankful discrete;2025-07-26T17:48:44;morning eek parody;2025-07-26T23:05:56
10;2025-07-27T04:26:16;11538.42;false;vengeful finally role;2025-07-27T00:13:29;debut;2025-07-26T23:26:39
