id;date;amount;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T13:45:58;29940.06;false;even readjust whoa;2025-07-27T08:57:22;scram corny amidst;2025-07-27T10:59:26
2;2025-07-27T04:11:39;30309.36;false;forenenst;2025-07-27T13:09:23;abandoned planula enraged;2025-07-26T18:49:34
3;2025-07-27T08:41:41;15150.32;true;jubilantly;2025-07-26T19:20:00;micromanage fooey ghost;2025-07-27T13:54:34
4;2025-07-27T05:20:52;15699.88;false;but poetry or;2025-07-27T15:29:34;equate which override;2025-07-27T12:14:26
5;2025-07-26T18:02:25;17867.59;true;given kick truly;2025-07-27T12:01:06;dense;2025-07-27T08:58:52
6;2025-07-27T01:08:23;31169.31;true;convalesce beyond mechanic;2025-07-27T14:16:13;spiffy wearily;2025-07-27T06:21:30
7;2025-07-27T03:08:13;26072.83;false;warm;2025-07-27T12:02:50;grave;2025-07-27T07:08:55
8;2025-07-26T17:19:54;12527.33;false;tragic cafe well-off;2025-07-27T03:31:09;prudent utter shakily;2025-07-27T14:09:24
9;2025-07-27T14:45:59;13180.35;false;a uh-huh whenever;2025-07-27T05:05:22;whoever as;2025-07-27T02:33:29
10;2025-07-26T23:05:18;5756;false;so gee misguided;2025-07-26T22:40:27;talkative officially;2025-07-26T22:36:06
