id;product_name;quantity;unit_price;discount;line_total;active;created_by;created_date;last_modified_by;last_modified_date
1;simplistic monumental;370;3911.53;5372.23;18375.67;false;cheese;2025-07-27T12:16:43;intend;2025-07-27T08:10:30
2;till;2905;4031.69;10027.43;3895.72;false;nicely govern;2025-07-27T03:36:04;emboss fussy rust;2025-07-27T11:38:52
3;mmm;27834;279.93;9530.29;24329.48;true;pack gee;2025-07-26T19:20:00;whispered outlandish drat;2025-07-26T23:26:56
4;wonderfully vista;8257;12127.3;18420.13;16484.75;true;ew why tattered;2025-07-26T19:49:46;rusty;2025-07-27T01:35:38
5;once scramble;10878;3611.91;26138.2;31404.52;false;aw aboard;2025-07-26T21:21:39;afore;2025-07-27T03:40:14
6;lest;23488;29993.57;22880.56;32513.15;false;teriyaki;2025-07-26T17:27:57;almost smog boohoo;2025-07-27T06:09:20
7;off for excepting;28163;26670.61;530.44;32472.32;false;meh till;2025-07-27T00:13:59;aha connect;2025-07-27T11:27:38
8;supposing gadzooks worth;5113;21920.68;24465.02;24307.43;false;bleakly;2025-07-27T11:10:33;gadzooks fooey;2025-07-27T12:55:30
9;but colligate status;16121;7678.87;12945.69;26678.24;true;granular;2025-07-26T18:54:37;um apud and;2025-07-27T09:28:03
10;qualified and;9622;6923.74;851.22;12240.78;false;appropriate hunger understanding;2025-07-26T19:35:02;fooey steep;2025-07-27T05:27:44
