id;date;total_quantity;total_amount;total_discount;grand_total;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T01:38:43;326;13009.27;25494;29363.84;true;although lavish;2025-07-26T19:58:11;braid;2025-07-26T21:37:22
2;2025-07-27T08:20:01;518;25382.22;14706.22;8178.01;true;decouple sequester successfully;2025-07-27T04:45:57;tuba morning trustworthy;2025-07-26T20:21:20
3;2025-07-27T07:32:55;4387;27499.24;451.81;470.89;false;rural;2025-07-26T18:03:53;acidly;2025-07-26T23:01:34
4;2025-07-26T18:58:36;22542;10088.06;27502.6;14018.9;false;willfully underneath seemingly;2025-07-27T07:21:30;why;2025-07-27T00:08:32
5;2025-07-27T15:59:48;3498;31404.09;11405.32;24323.65;true;terribly zebra;2025-07-27T08:06:55;intermesh now;2025-07-27T01:45:45
6;2025-07-27T12:18:24;5019;22633.97;12605.46;27429.54;false;midst;2025-07-26T21:05:52;if;2025-07-26T18:49:08
7;2025-07-27T13:57:56;24122;2058.2;30758.53;23746.86;false;between till pish;2025-07-27T11:57:35;charm shoulder regarding;2025-07-27T03:04:43
8;2025-07-27T01:48:20;7836;15280.16;9452.15;3293.92;false;consequently tag huzzah;2025-07-27T09:59:59;boldly er despite;2025-07-27T11:15:59
9;2025-07-26T22:11:31;4799;5320.29;26063.27;22911.35;true;given unto;2025-07-26T18:53:37;hydrolyze surface ignorant;2025-07-27T09:14:43
10;2025-07-27T04:34:49;8297;16930.81;170.02;32379.18;false;sturdy ha querulous;2025-07-27T05:24:34;disloyal;2025-07-27T01:29:03
