id;date;amount;active;created_by;created_date;last_modified_by;last_modified_date
1;2025-07-27T13:32:05;26471.88;false;internationalize mechanically;2025-07-27T06:34:34;finally likewise;2025-07-26T17:57:41
2;2025-07-27T04:13:27;17091.48;true;carefully knowledgeably;2025-07-27T03:27:17;total;2025-07-27T06:41:58
3;2025-07-27T15:17:12;9430.78;false;pretend;2025-07-27T08:03:11;joyously;2025-07-27T03:36:28
4;2025-07-26T18:40:01;12827.64;false;adjudge;2025-07-27T02:03:10;pupil hence nor;2025-07-27T02:02:22
5;2025-07-27T13:42:50;19254.44;true;um furiously;2025-07-26T22:49:57;alert on fiddle;2025-07-27T08:17:32
6;2025-07-26T20:52:44;9576.44;false;implode calculating ouch;2025-07-27T14:40:42;that nab;2025-07-26T22:31:14
7;2025-07-26T23:28:56;31645.31;false;accidentally convoke;2025-07-26T21:29:03;jubilantly oh;2025-07-26T21:05:30
8;2025-07-27T00:01:52;3806.75;true;worthless;2025-07-27T14:19:53;sentimental worriedly idle;2025-07-27T11:48:01
9;2025-07-26T21:10:58;13427.73;true;within smug;2025-07-27T13:18:30;reproachfully plus opposite;2025-07-27T02:35:08
10;2025-07-27T06:13:05;30663.74;false;hm;2025-07-27T12:28:34;ouch;2025-07-26T19:03:56
